"Geometrie","art","id","art_id","Attachments"
"MULTIPOINT Z((349634.25311197795 5775995.712175131 -43.828283782174495))","","1","1",""
"MULTIPOINT Z((349658.76101207384 5776008.2438534275 -43.8281899546092))","","2","3",""
"MULTIPOINT Z((349665.2738531532 5776004.729838389 -43.82828767024327))","","3","4",""
"MULTIPOINT Z((349680.14509210596 5775984.270817302 -43.82873457544106))","","4","4",""
"MULTIPOINT Z((349708.48790116416 5775994.987429464 -43.82869374605916))","","5","1",""
"MULTIPOINT Z((349747.63818341156 5775987.554175422 -43.82903695382984))","","6","3",""
"MULTIPOINT Z((349760.7962586286 5775985.502996068 -43.829144004441616))","","7","4",""
"MULTIPOINT Z((349771.57899155526 5775977.699180852 -43.82934186019884))","","8","3",""
"MULTIPOINT Z((349770.5559713209 5775935.423184326 -43.83009490482757))","alnus","9","2",""
"MULTIPOINT Z((349768.2502945735 5775900.235213895 -43.830714370382196))","quercus ","10","3",""
"MULTIPOINT Z((349764.574883124 5775884.29741022 -43.83098064633853))","pinus","11","1",""
"MULTIPOINT Z((349752.2417894539 5775888.82839038 -43.8308333624478))","","12","4",""
"MULTIPOINT Z((349748.3160400396 5775874.128103965 -43.83107617788529))","","13","1",""
"MULTIPOINT Z((349743.71381554205 5775849.707457948 -43.831489630116835))","","14","3",""
"MULTIPOINT Z((349732.2853426837 5775833.230000265 -43.831724593293444))","","15","3",""
"MULTIPOINT Z((349732.49250546587 5775812.801924855 -43.832092024074186))","fagus","16","6",""
"MULTIPOINT Z((349737.60472702264 5775801.229293582 -43.832327123870165))","alnus","17","2",""
"MULTIPOINT Z((349743.19793670403 5775794.472276792 -43.83247838204059))","","18","2",""
"MULTIPOINT Z((349747.10231698805 5775778.761812515 -43.83278100267876))","","19","2",""
"MULTIPOINT Z((349751.82520747784 5775766.186783919 -43.83303230244447))","3","20","",""
"MULTIPOINT Z((349743.88613578095 5775733.461161199 -43.83357707339839))","","21","7",""
"MULTIPOINT Z((349737.7603052612 5775722.721474276 -43.833737077194755))","","22","7",""
"MULTIPOINT Z((349746.9211522087 5775721.1723999325 -43.83381382388783))","","23","3",""
"MULTIPOINT Z((349770.0311385324 5775693.892120213 -43.834427426251295))","","24","3",""
"MULTIPOINT Z((349777.6594760486 5775688.247720769 -43.83456946690423))","","25","2",""
"MULTIPOINT Z((349790.0545902094 5775709.073939542 -43.834262328791766))","","26","3",""
"MULTIPOINT Z((349817.4789064685 5775717.287144124 -43.83426193221184))","","27","3",""
"MULTIPOINT Z((349802.62372602255 5775736.657913623 -43.83383459242377))","","28","3",""
"MULTIPOINT Z((349775.3132249605 5775772.436227708 -43.83304615121645))","","29","7",""
"MULTIPOINT Z((349783.95277712063 5775801.449042506 -43.83257155460141))","","30","6",""
"MULTIPOINT Z((349769.82053211774 5775798.325262329 -43.83255185723734))","picea unter eiche versteckt","31","5",""
"MULTIPOINT Z((349766.2416756744 5775807.76727632 -43.83236312670128))","","32","3",""
"MULTIPOINT Z((349792.3978915683 5775817.837041747 -43.83232283557374))","","33","2",""
"MULTIPOINT Z((349796.7366746589 5775832.27739942 -43.832086882373474))","","34","4",""
"MULTIPOINT Z((349782.1553981371 5775845.460971455 -43.83177195859757))","","35","4",""
"MULTIPOINT Z((349770.02102208574 5775847.607827158 -43.83167001261155))","","36","4",""
