ID;East;North;Elev;Lon;Lat;Alt;Pdop;HRMS;VRMS;Time;art;umfang;durchmesser;kraft
1;350082.02;5775773.63;-2.00;6.81060979;52.11215533;-2.00;0.98;0.91;1.40;2024/11/13 09:34:30;"ps";81.00;-9999.00;"1"
2;350084.48;5775770.56;-2.00;6.81064702;52.11212842;-2.00;1.00;0.87;1.40;2024/11/13 09:38:08;"ps ";65.00;-9999.00;"3"
3;350086.20;5775767.71;-2.00;6.81067351;52.11210327;-2.00;1.05;1.20;1.90;2024/11/13 09:41:56;"ps";74.00;-9999.00;"2"
4;350084.66;5775768.23;-2.00;6.81065075;52.11210757;-2.00;0.96;0.69;0.96;2024/11/13 09:43:12;"bp";18.00;-9999.00;"5 "
5;350086.90;5775768.27;-2.00;6.81068341;52.11210855;-2.00;0.94;0.59;1.00;2024/11/13 09:44:52;"bp";24.00;-9999.00;"5 "
6;350087.75;5775772.54;-2.00;6.81069400;52.11214713;-2.00;0.92;0.44;0.78;2024/11/13 09:53:25;"ps";69.00;69.00;"2"
7;350087.50;5775771.15;-2.00;6.81069090;52.11213454;-2.00;0.89;0.64;1.10;2024/11/13 09:55:43;"ps";54.00;-9999.00;"1"
8;350089.83;5775773.55;-2.00;6.81072385;52.11215672;-2.00;0.94;0.53;0.91;2024/11/13 09:57:03;"ps ";71.00;-9999.00;"1"
9;350087.28;5775776.40;-2.00;6.81068539;52.11218167;-2.00;0.85;0.52;0.80;2024/11/13 09:58:01;"ps";68.00;-9999.00;"2"
10;350089.68;5775778.69;-2.00;6.81071938;52.11220286;-2.00;0.94;0.47;0.72;2024/11/13 09:59:41;"bp ";24.50;-9999.00;"4"
11;350089.21;5775778.08;-2.00;6.81071283;52.11219731;-2.00;0.89;0.49;0.69;2024/11/13 10:01:03;"bp";17.00;-9999.00;"5 "
12;350077.56;5775776.10;-2.00;6.81054362;52.11217630;-2.00;0.92;0.69;1.20;2024/11/13 10:03:11;"ps";71.00;-9999.00;"2"
13;350076.88;5775775.50;-2.00;6.81053396;52.11217075;-2.00;0.89;0.66;1.00;2024/11/13 10:04:33;"ps";59.00;-9999.00;"2"
14;350075.56;5775777.36;-2.00;6.81051386;52.11218713;-2.00;0.93;0.57;0.83;2024/11/13 10:05:21;"ps";47.00;-9999.00;"2"
15;350077.82;5775780.55;-2.00;6.81054553;52.11221636;-2.00;0.93;0.63;0.96;2024/11/13 10:06:37;"ps";71.50;-9999.00;"1"
16;350078.72;5775781.21;-2.00;6.81055833;52.11222258;-2.00;0.96;0.66;1.00;2024/11/13 10:07:25;"ps";51.50;-9999.00;"2"
17;350080.53;5775780.80;-2.00;6.81058489;52.11221940;-2.00;0.94;0.67;1.00;2024/11/13 10:08:30;"bp";19.50;-9999.00;"4"
18;350081.62;5775779.88;-2.00;6.81060128;52.11221142;-2.00;0.95;0.63;0.95;2024/11/13 10:09:48;"ps";61.00;-9999.00;"2"
19;350084.36;5775782.65;-2.00;6.81064000;52.11223698;-2.00;0.95;0.64;0.98;2024/11/13 10:11:00;"ps";85.00;-9999.00;"1"
20;350079.12;5775781.69;-2.00;6.81056397;52.11222699;-2.00;0.95;0.67;0.98;2024/11/13 10:13:07;"ps";51.00;-9999.00;"2"
21;350079.17;5775784.67;-2.00;6.81056341;52.11225379;-2.00;0.90;0.65;0.97;2024/11/13 10:14:04;"ps";57.00;-9999.00;"2"
22;350078.79;5775785.83;-2.00;6.81055735;52.11226407;-2.00;0.91;0.70;1.00;2024/11/13 10:14:51;"ps";49.00;-9999.00;"2"
