ID,plotID,East,North,Elev,Lon,Lat,Alt,Pdop,HRMS,VRMS,Time,art kurz,art lang ,umfang [m],durchmesser [m],kraft
1,LW12,350082.02,5775773.63,-2,6.81060979,52.11215533,-2,0.98,0.91,1.4,13/11/2024 09:34,"""ps""",Pinus sylvestris ,0.81,0.25783,"""1"""
2,LW12,350084.48,5775770.56,-2,6.81064702,52.11212842,-2,1,0.87,1.4,13/11/2024 09:38,"""ps """,Pinus sylvestris ,0.65,0.20690,"""3"""
3,LW12,350086.2,5775767.71,-2,6.81067351,52.11210327,-2,1.05,1.2,1.9,13/11/2024 09:41,"""ps""",Pinus sylvestris ,0.74,0.23555,"""2"""
4,LW12,350084.66,5775768.23,-2,6.81065075,52.11210757,-2,0.96,0.69,0.96,13/11/2024 09:43,"""bp""",Betula pubescens,0.18,0.05730,"""5 """
5,LW12,350086.9,5775768.27,-2,6.81068341,52.11210855,-2,0.94,0.59,1,13/11/2024 09:44,"""bp""",Betula pubescens,0.24,0.07639,"""5 """
6,LW12,350087.75,5775772.54,-2,6.810694,52.11214713,-2,0.92,0.44,0.78,13/11/2024 09:53,"""ps""",Pinus sylvestris ,0.69,0.21963,"""2"""
7,LW12,350087.5,5775771.15,-2,6.8106909,52.11213454,-2,0.89,0.64,1.1,13/11/2024 09:55,"""ps""",Pinus sylvestris ,0.54,0.17189,"""1"""
8,LW12,350089.83,5775773.55,-2,6.81072385,52.11215672,-2,0.94,0.53,0.91,13/11/2024 09:57,"""ps """,Pinus sylvestris ,0.71,0.22600,"""1"""
9,LW12,350087.28,5775776.4,-2,6.81068539,52.11218167,-2,0.85,0.52,0.8,13/11/2024 09:58,"""ps""",Pinus sylvestris ,0.68,0.21645,"""2"""
10,LW12,350089.68,5775778.69,-2,6.81071938,52.11220286,-2,0.94,0.47,0.72,13/11/2024 09:59,"""bp """,Betula pubescens,0.245,0.07799,"""4"""
11,LW12,350089.21,5775778.08,-2,6.81071283,52.11219731,-2,0.89,0.49,0.69,13/11/2024 10:01,"""bp""",Betula pubescens,0.17,0.05411,"""5 """
12,LW12,350077.56,5775776.1,-2,6.81054362,52.1121763,-2,0.92,0.69,1.2,13/11/2024 10:03,"""ps""",Pinus sylvestris ,0.71,0.22600,"""2"""
13,LW12,350076.88,5775775.5,-2,6.81053396,52.11217075,-2,0.89,0.66,1,13/11/2024 10:04,"""ps""",Pinus sylvestris ,0.59,0.18780,"""2"""
14,LW12,350075.56,5775777.36,-2,6.81051386,52.11218713,-2,0.93,0.57,0.83,13/11/2024 10:05,"""ps""",Pinus sylvestris ,0.47,0.14961,"""2"""
15,LW12,350077.82,5775780.55,-2,6.81054553,52.11221636,-2,0.93,0.63,0.96,13/11/2024 10:06,"""ps""",Pinus sylvestris ,0.715,0.22759,"""1"""
16,LW12,350078.72,5775781.21,-2,6.81055833,52.11222258,-2,0.96,0.66,1,13/11/2024 10:07,"""ps""",Pinus sylvestris ,0.515,0.16393,"""2"""
17,LW12,350080.53,5775780.8,-2,6.81058489,52.1122194,-2,0.94,0.67,1,13/11/2024 10:08,"""bp""",Betula pubescens,0.195,0.06207,"""4"""
18,LW12,350081.62,5775779.88,-2,6.81060128,52.11221142,-2,0.95,0.63,0.95,13/11/2024 10:09,"""ps""",Pinus sylvestris ,0.61,0.19417,"""2"""
19,LW12,350084.36,5775782.65,-2,6.81064,52.11223698,-2,0.95,0.64,0.98,13/11/2024 10:11,"""ps""",Pinus sylvestris ,0.85,0.27056,"""1"""
20,LW12,350079.12,5775781.69,-2,6.81056397,52.11222699,-2,0.95,0.67,0.98,13/11/2024 10:13,"""ps""",Pinus sylvestris ,0.51,0.16234,"""2"""
21,LW12,350079.17,5775784.67,-2,6.81056341,52.11225379,-2,0.9,0.65,0.97,13/11/2024 10:14,"""ps""",Pinus sylvestris ,0.57,0.18144,"""2"""
22,LW12,350078.79,5775785.83,-2,6.81055735,52.11226407,-2,0.91,0.7,1,13/11/2024 10:14,"""ps""",Pinus sylvestris ,0.49,0.15597,"""2"""
