"TreeID","PlotID","East","North","Elev","Lon","Lat","Alt","Pdop","HRMS","VRMS","Species","Circumference","DBH","Kraft","Date","Observer","geometry"
1,"LW12",350082.02,5775773.63,NA,6.81060979,52.11215533,NA,0.98,0.91,1.4,"Pinus sylvestris",0.81,0.258,1,2024-11-13,"Studienprojekt2024",c(350082.02, 5775773.63)
2,"LW12",350084.48,5775770.56,NA,6.81064702,52.11212842,NA,1,0.87,1.4,"Pinus sylvestris",0.65,0.207,3,2024-11-13,"Studienprojekt2024",c(350084.48, 5775770.56)
3,"LW12",350086.2,5775767.71,NA,6.81067351,52.11210327,NA,1.05,1.2,1.9,"Pinus sylvestris",0.74,0.236,2,2024-11-13,"Studienprojekt2024",c(350086.2, 5775767.71)
4,"LW12",350084.66,5775768.23,NA,6.81065075,52.11210757,NA,0.96,0.69,0.96,"Betula pubescens",0.18,0.057,5,2024-11-13,"Studienprojekt2024",c(350084.66, 5775768.23)
5,"LW12",350086.9,5775768.27,NA,6.81068341,52.11210855,NA,0.94,0.59,1,"Betula pubescens",0.24,0.076,5,2024-11-13,"Studienprojekt2024",c(350086.9, 5775768.27)
6,"LW12",350087.75,5775772.54,NA,6.810694,52.11214713,NA,0.92,0.44,0.78,"Pinus sylvestris",0.69,0.22,2,2024-11-13,"Studienprojekt2024",c(350087.75, 5775772.54)
7,"LW12",350087.5,5775771.15,NA,6.8106909,52.11213454,NA,0.89,0.64,1.1,"Pinus sylvestris",0.54,0.172,1,2024-11-13,"Studienprojekt2024",c(350087.5, 5775771.15)
8,"LW12",350089.83,5775773.55,NA,6.81072385,52.11215672,NA,0.94,0.53,0.91,"Pinus sylvestris",0.71,0.226,1,2024-11-13,"Studienprojekt2024",c(350089.83, 5775773.55)
9,"LW12",350087.28,5775776.4,NA,6.81068539,52.11218167,NA,0.85,0.52,0.8,"Pinus sylvestris",0.68,0.216,2,2024-11-13,"Studienprojekt2024",c(350087.28, 5775776.4)
10,"LW12",350089.68,5775778.69,NA,6.81071938,52.11220286,NA,0.94,0.47,0.72,"Betula pubescens",0.245,0.078,4,2024-11-13,"Studienprojekt2024",c(350089.68, 5775778.69)
11,"LW12",350089.21,5775778.08,NA,6.81071283,52.11219731,NA,0.89,0.49,0.69,"Betula pubescens",0.17,0.054,5,2024-11-13,"Studienprojekt2024",c(350089.21, 5775778.08)
12,"LW12",350077.56,5775776.1,NA,6.81054362,52.1121763,NA,0.92,0.69,1.2,"Pinus sylvestris",0.71,0.226,2,2024-11-13,"Studienprojekt2024",c(350077.56, 5775776.1)
13,"LW12",350076.88,5775775.5,NA,6.81053396,52.11217075,NA,0.89,0.66,1,"Pinus sylvestris",0.59,0.188,2,2024-11-13,"Studienprojekt2024",c(350076.88, 5775775.5)
14,"LW12",350075.56,5775777.36,NA,6.81051386,52.11218713,NA,0.93,0.57,0.83,"Pinus sylvestris",0.47,0.15,2,2024-11-13,"Studienprojekt2024",c(350075.56, 5775777.36)
15,"LW12",350077.82,5775780.55,NA,6.81054553,52.11221636,NA,0.93,0.63,0.96,"Pinus sylvestris",0.715,0.228,1,2024-11-13,"Studienprojekt2024",c(350077.82, 5775780.55)
16,"LW12",350078.72,5775781.21,NA,6.81055833,52.11222258,NA,0.96,0.66,1,"Pinus sylvestris",0.515,0.164,2,2024-11-13,"Studienprojekt2024",c(350078.72, 5775781.21)
17,"LW12",350080.53,5775780.8,NA,6.81058489,52.1122194,NA,0.94,0.67,1,"Betula pubescens",0.195,0.062,4,2024-11-13,"Studienprojekt2024",c(350080.53, 5775780.8)
18,"LW12",350081.62,5775779.88,NA,6.81060128,52.11221142,NA,0.95,0.63,0.95,"Pinus sylvestris",0.61,0.194,2,2024-11-13,"Studienprojekt2024",c(350081.62, 5775779.88)
19,"LW12",350084.36,5775782.65,NA,6.81064,52.11223698,NA,0.95,0.64,0.98,"Pinus sylvestris",0.85,0.271,1,2024-11-13,"Studienprojekt2024",c(350084.36, 5775782.65)
20,"LW12",350079.12,5775781.69,NA,6.81056397,52.11222699,NA,0.95,0.67,0.98,"Pinus sylvestris",0.51,0.162,2,2024-11-13,"Studienprojekt2024",c(350079.12, 5775781.69)
21,"LW12",350079.17,5775784.67,NA,6.81056341,52.11225379,NA,0.9,0.65,0.97,"Pinus sylvestris",0.57,0.181,2,2024-11-13,"Studienprojekt2024",c(350079.17, 5775784.67)
22,"LW12",350078.79,5775785.83,NA,6.81055735,52.11226407,NA,0.91,0.7,1,"Pinus sylvestris",0.49,0.156,2,2024-11-13,"Studienprojekt2024",c(350078.79, 5775785.83)
23,"LW12",350079.54,5775784.72,NA,6.81056876,52.11225434,NA,0.94,0.71,1.1,"Pinus sylvestris",0.8,0.255,2,2024-11-13,"Studienprojekt2024",c(350079.54, 5775784.72)
24,"LW12",350075.74,5775782.51,NA,6.81051422,52.11223345,NA,0.94,0.6,0.89,"Pinus sylvestris",0.49,0.156,3,2024-11-13,"Studienprojekt2024",c(350075.74, 5775782.51)
